step,epoch,loss,eval_loss,learning_rate,grad_norm
10,0.018190086402910415,3.8303646087646483,,1.4545454545454545e-05,2.244483709335327
20,0.03638017280582083,3.6187149047851563,,3.272727272727273e-05,2.8084707260131836
30,0.054570259208731244,2.7922683715820313,,5.090909090909091e-05,2.0952439308166504
40,0.07276034561164166,2.3888948440551756,,6.90909090909091e-05,1.6582564115524292
50,0.09095043201455207,2.0480743408203126,,8.727272727272727e-05,1.4457497596740723
60,0.10914051841746249,1.9459430694580078,,0.00010545454545454545,0.9730628132820129
70,0.1273306048203729,1.8919198989868165,,0.00012363636363636364,0.9987097382545471
80,0.14552069122328332,1.7547143936157226,,0.00014181818181818184,0.9568021893501282
90,0.16371077762619374,1.7678916931152344,,0.00016,1.039135456085205
100,0.18190086402910413,1.7852014541625976,,0.0001781818181818182,1.2398905754089355
100,0.18190086402910413,,1.685477375984192,,
110,0.20009095043201455,1.7627098083496093,,0.00019636363636363636,1.0516754388809204
120,0.21828103683492497,1.7392511367797852,,0.00019996777773909093,1.3658573627471924
130,0.23647112323783537,1.7150970458984376,,0.00019983691039261357,1.2232354879379272
140,0.2546612096407458,1.6628864288330079,,0.0001996055157401834,1.2060551643371582
150,0.2728512960436562,1.6150192260742187,,0.00019927382677660088,1.1658823490142822
160,0.29104138244656663,1.5858566284179687,,0.00019884217748453623,1.0770000219345093
170,0.30923146884947705,1.635208511352539,,0.00019831100249823733,1.1288466453552246
180,0.3274215552523875,1.568655014038086,,0.00019768083666588953,1.0769822597503662
190,0.34561164165529784,1.5389164924621581,,0.00019695231451106912,1.2041656970977783
200,0.36380172805820826,1.6454856872558594,,0.0001961261695938319,1.154909610748291
200,0.36380172805820826,,1.568497896194458,,
210,0.3819918144611187,1.576728057861328,,0.00019520323377208017,1.395835518836975
220,0.4001819008640291,1.5093816757202148,,0.00019418443636395248,1.3220765590667725
230,0.4183719872669395,1.5938434600830078,,0.00019307080321207912,1.313351035118103
240,0.43656207366984995,1.5479724884033204,,0.00019186345565064535,1.1715834140777588
250,0.45475216007276037,1.6083084106445313,,0.0001905636093763031,1.1904478073120117
260,0.47294224647567074,1.6081645965576172,,0.00018917257322406734,1.1250905990600586
270,0.49113233287858116,1.5342655181884766,,0.0001876917478494303,1.3596361875534058
280,0.5093224192814916,1.6771934509277344,,0.00018612262431802007,1.1942116022109985
290,0.527512505684402,1.521425151824951,,0.00018446678260422385,1.2191401720046997
300,0.5457025920873124,1.5458648681640625,,0.00018272589000028772,1.3243205547332764
300,0.5457025920873124,,1.5097651481628418,,
310,0.5638926784902228,1.5142499923706054,,0.00018090169943749476,1.1307592391967773
320,0.5820827648931333,1.5242456436157226,,0.00017899604772111163,1.293404221534729
330,0.6002728512960437,1.569912815093994,,0.00017701085368088156,1.2824454307556152
340,0.6184629376989541,1.5843204498291015,,0.0001749481162389254,1.301489233970642
350,0.6366530241018645,1.4155019760131835,,0.00017280991239699642,1.2532472610473633
360,0.654843110504775,1.5226140022277832,,0.00017059839514511565,1.1772884130477905
370,0.6730331969076853,1.4986432075500489,,0.00016831579129369346,1.3286354541778564
380,0.6912232833105957,1.5315777778625488,,0.00016596439923132017,1.2279828786849976
390,0.7094133697135061,1.4106521606445312,,0.00016354658661048364,1.1432300806045532
400,0.7276034561164165,1.5009928703308106,,0.00016106478796354382,1.0513935089111328
400,0.7276034561164165,,1.4739912748336792,,
410,0.745793542519327,1.4584669113159179,,0.00015852150225136518,1.052688479423523
420,0.7639836289222374,1.4056760787963867,,0.0001559192903470747,1.282377004623413
430,0.7821737153251478,1.4882746696472169,,0.00015326077245747999,1.1960135698318481
440,0.8003638017280582,1.4660722732543945,,0.000150548625484743,1.3959994316101074
450,0.8185538881309686,1.468772029876709,,0.00014778558033096633,1.206407070159912
460,0.836743974533879,1.4773441314697267,,0.0001449744191484066,1.5357433557510376
470,0.8549340609367895,1.4450418472290039,,0.00014211797253808268,1.3876092433929443
480,0.8731241473396999,1.5704236030578613,,0.00013921911669960055,1.219210147857666
490,0.8913142337426103,1.4940568923950195,,0.0001362807705350641,1.1167590618133545
500,0.9095043201455207,1.4306221961975099,,0.00013330589270998808,1.4530470371246338
500,0.9095043201455207,,1.448584794998169,,
510,0.927694406548431,1.495294952392578,,0.00013029747867417276,1.1925290822982788
520,0.9458844929513415,1.5485472679138184,,0.0001272585576455398,1.2944437265396118
530,0.9640745793542519,1.5342392921447754,,0.00012419218955996676,1.3775157928466797
540,0.9822646657571623,1.3954075813293456,,0.000121101461990191,1.2147409915924072
550,1.0,1.484865379333496,,0.00011798948703688539,1.3607836961746216
560,1.0181900864029103,1.3085023880004882,,0.00011485939819503717,1.4944770336151123
570,1.0363801728058208,1.4141067504882812,,0.00011171434719878384,1.2130769491195679
580,1.0545702592087312,1.411309814453125,,0.00010855750084788398,1.2401353120803833
590,1.0727603456116417,1.457626724243164,,0.00010539203781901861,1.3788801431655884
600,1.090950432014552,1.377239990234375,,0.00010222114546513295,1.3992490768432617
600,1.090950432014552,,1.4340174198150635,,
610,1.1091405184174625,1.3872957229614258,,9.904801660604234e-05,1.5574398040771484
620,1.1273306048203728,1.3667388916015626,,9.587584631353329e-05,1.4233081340789795
630,1.1455206912232834,1.2842520713806151,,9.270782869419694e-05,1.3410948514938354
640,1.1637107776261937,1.450217342376709,,8.954715367323468e-05,1.2249442338943481
650,1.1819008640291042,1.3032491683959961,,8.639700378247361e-05,1.7675774097442627
660,1.2000909504320145,1.3657665252685547,,8.326055095582694e-05,1.4227092266082764
670,1.218281036834925,1.3324254035949707,,8.014095333542548e-05,1.568467140197754
680,1.2364711232378354,1.3119233131408692,,7.704135209163589e-05,1.4589545726776123
690,1.2546612096407457,1.3666601181030273,,7.39648682601688e-05,1.3870258331298828
700,1.2728512960436562,1.4202352523803712,,7.09145995994601e-05,1.6014459133148193
700,1.2728512960436562,,1.4133293628692627,,
710,1.2910413824465667,1.342061710357666,,6.789361747149093e-05,1.8137320280075073
720,1.309231468849477,1.3995709419250488,,6.490496374918647e-05,1.4058624505996704
730,1.3274215552523874,1.4162592887878418,,6.19516477535077e-05,1.5624597072601318
740,1.345611641655298,1.363102912902832,,5.9036643223320475e-05,1.3272316455841064
750,1.3638017280582082,1.3117420196533203,,5.616288532109225e-05,1.3794302940368652
760,1.3819918144611187,1.338002872467041,,5.333326767743263e-05,1.4312976598739624
770,1.400181900864029,1.375111961364746,,5.055063947745233e-05,1.8183726072311401
780,1.4183719872669396,1.3909820556640624,,4.7817802591875426e-05,1.6581834554672241
790,1.43656207366985,1.3196937561035156,,4.513750875579303e-05,1.7379087209701538
800,1.4547521600727604,1.3373393058776855,,4.251245679789928e-05,1.5071935653686523
800,1.4547521600727604,,1.4010390043258667,,
810,1.4729422464756707,1.3014488220214844,,3.994528992299971e-05,1.6794896125793457
820,1.491132332878581,1.2658248901367188,,3.7438593050527845e-05,1.6687618494033813
830,1.5093224192814916,1.3690673828125,,3.4994890211750754e-05,1.4860379695892334
840,1.527512505684402,1.2323962211608888,,3.2616642008283213e-05,1.4977695941925049
850,1.5457025920873124,1.3001304626464845,,3.030624313447067e-05,1.4228559732437134
860,1.5638926784902227,1.3251712799072266,,2.8066019966134904e-05,2.1421146392822266
870,1.5820827648931333,1.2889963150024415,,2.589822821811083e-05,1.781945824623108
880,1.6002728512960438,1.3448293685913086,,2.3805050672932928e-05,1.5034022331237793
890,1.618462937698954,1.3628517150878907,,2.178859498295809e-05,1.546130657196045
900,1.6366530241018644,1.3905068397521974,,1.985089154813846e-05,1.8760966062545776
900,1.6366530241018644,,1.3941398859024048,,
910,1.654843110504775,1.2921329498291017,,1.7993891471580893e-05,1.65078866481781
920,1.6730331969076853,1.3841471672058105,,1.621946459495127e-05,1.627663016319275
930,1.6912232833105958,1.2829962730407716,,1.4529397615702656e-05,1.502290964126587
940,1.709413369713506,1.2676005363464355,,1.2925392288022298e-05,1.8031737804412842
