step,epoch,loss,eval_loss,learning_rate,grad_norm
10,0.018190086402910415,3.9018222808837892,,1.6363636363636366e-05,1.680474042892456
20,0.03638017280582083,3.828909683227539,,3.454545454545455e-05,2.8401968479156494
30,0.054570259208731244,3.2792850494384767,,5.272727272727272e-05,2.3318936824798584
40,0.07276034561164166,3.045126724243164,,7.090909090909092e-05,2.1040210723876953
50,0.09095043201455207,2.4875741958618165,,8.90909090909091e-05,2.2216694355010986
60,0.10914051841746249,2.17259521484375,,0.00010727272727272728,1.6125011444091797
70,0.1273306048203729,2.072052574157715,,0.00012545454545454546,0.8561084270477295
80,0.14552069122328332,1.8996231079101562,,0.00014363636363636363,0.7423208355903625
90,0.16371077762619374,1.8912010192871094,,0.00016181818181818184,0.7637954354286194
100,0.18190086402910413,1.8966793060302733,,0.00018,0.8869533538818359
100,0.18190086402910413,,1.790041446685791,,
110,0.20009095043201455,1.8540283203125,,0.00019818181818181821,0.9605462551116943
120,0.21828103683492497,1.8238336563110351,,0.00019995921928281894,1.1899775266647339
130,0.23647112323783537,1.7786231994628907,,0.00019981829160444514,1.1385763883590698
140,0.2546612096407458,1.730826187133789,,0.00019957685536765995,1.2178219556808472
150,0.2728512960436562,1.6773591995239259,,0.0001992351536782881,1.1458841562271118
160,0.29104138244656663,1.64715576171875,,0.00019879353060096603,1.2616652250289917
170,0.30923146884947705,1.6899799346923827,,0.00019825243081269774,1.1952970027923584
180,0.3274215552523875,1.620035743713379,,0.00019761239915510302,1.1387951374053955
190,0.34561164165529784,1.6023027420043945,,0.00019687408008580784,1.306409478187561
200,0.36380172805820826,1.7010051727294921,,0.00019603821702953046,1.2743842601776123
200,0.36380172805820826,,1.6241806745529175,,
210,0.3819918144611187,1.6271385192871093,,0.00019510565162951537,1.503780722618103
220,0.4001819008640291,1.5681087493896484,,0.00019407732290007023,1.5023809671401978
230,0.4183719872669395,1.653891372680664,,0.00019295426628105792,1.471264123916626
240,0.43656207366984995,1.6004737854003905,,0.00019173761259529633,1.2579795122146606
250,0.45475216007276037,1.660635757446289,,0.00019042858690991574,1.3993960618972778
260,0.47294224647567074,1.673928451538086,,0.00018902850730281992,1.3079633712768555
270,0.49113233287858116,1.6026655197143556,,0.00018753878353549357,1.5917459726333618
280,0.5093224192814916,1.7351955413818358,,0.00018596091563349192,1.4135775566101074
290,0.527512505684402,1.5867443084716797,,0.00018429649237604217,1.4323457479476929
300,0.5457025920873124,1.6035892486572265,,0.0001825471896962774,1.785092830657959
300,0.5457025920873124,,1.5663269758224487,,
310,0.5638926784902228,1.5685003280639649,,0.00018071476899371414,1.3936866521835327
320,0.5820827648931333,1.5798148155212401,,0.00017880107536067218,1.5389456748962402
330,0.6002728512960437,1.6287931442260741,,0.00017680803572442318,1.6884515285491943
340,0.6184629376989541,1.642519187927246,,0.0001747376569069381,1.6402690410614014
350,0.6366530241018645,1.470698928833008,,0.00017259202360418762,1.5419456958770752
360,0.654843110504775,1.5975225448608399,,0.00017037329628703004,1.4932582378387451
370,0.6730331969076853,1.549169158935547,,0.00016808370902580036,1.6534769535064697
380,0.6912232833105957,1.5923757553100586,,0.00016572556724079056,1.6095013618469238
390,0.7094133697135061,1.485041904449463,,0.00016330124538088705,1.4599807262420654
400,0.7276034561164165,1.558335304260254,,0.0001608131845327018,1.3656556606292725
400,0.7276034561164165,,1.5323259830474854,,
410,0.745793542519327,1.5157294273376465,,0.00015826388996260503,1.3822658061981201
420,0.7639836289222374,1.4627628326416016,,0.0001556559285941344,1.6850403547286987
430,0.7821737153251478,1.556351661682129,,0.0001529919264233205,1.6809005737304688
440,0.8003638017280582,1.529342269897461,,0.0001502745658745316,1.7473809719085693
450,0.8185538881309686,1.5480178833007812,,0.0001475065830994995,1.5721629858016968
460,0.836743974533879,1.5446586608886719,,0.0001446907652222468,1.952366590499878
470,0.8549340609367895,1.514319610595703,,0.00014182994753268927,1.8655908107757568
480,0.8731241473396999,1.6267946243286133,,0.00013892701063173918,1.6275138854980469
490,0.8913142337426103,1.5447765350341798,,0.00013598487753078425,1.4978435039520264
500,0.9095043201455207,1.5042654991149902,,0.00013300651070846333,1.9939531087875366
500,0.9095043201455207,,1.5086452960968018,,
510,0.927694406548431,1.5526741027832032,,0.00012999490912770107,1.557911992073059
520,0.9458844929513415,1.6274763107299806,,0.0001269531052160068,1.6661592721939087
530,0.9640745793542519,1.6005626678466798,,0.0001238841618120769,1.8559187650680542
540,0.9822646657571623,1.4523517608642578,,0.00012079116908177593,1.5657926797866821
550,1.0,1.5544533729553223,,0.00011767724140660157,1.8097347021102905
560,1.0181900864029103,1.3984755516052245,,0.00011454551424776637,1.9473143815994263
570,1.0363801728058208,1.5022405624389648,,0.00011139914098905406,1.5660845041275024
580,1.0545702592087312,1.5057458877563477,,0.00010824128976162964,1.5710608959197998
590,1.0727603456116417,1.5596035957336425,,0.00010507514025399943,1.8813741207122803
600,1.090950432014552,1.4653191566467285,,0.00010190388051033466,1.761866807937622
600,1.090950432014552,,1.4918750524520874,,
610,1.1091405184174625,1.4717594146728517,,9.873070372038105e-05,2.036067485809326
620,1.1273306048203728,1.4689409255981445,,9.55588050041874e-05,1.8777934312820435
630,1.1455206912232834,1.387495231628418,,9.239137819489047e-05,1.8282124996185303
640,1.1637107776261937,1.535109519958496,,8.92316126227961e-05,1.608260989189148
650,1.1819008640291042,1.397652816772461,,8.608268990399349e-05,2.286327600479126
660,1.2000909504320145,1.4785621643066407,,8.294778073673762e-05,1.8651467561721802
670,1.218281036834925,1.4203310012817383,,7.983004170882518e-05,2.086777925491333
680,1.2364711232378354,1.416145133972168,,7.673261211917776e-05,1.9638445377349854
690,1.2546612096407457,1.4606786727905274,,7.365861081683433e-05,1.8329648971557617
700,1.2728512960436562,1.5246477127075195,,7.061113306053443e-05,2.2384955883026123
700,1.2728512960436562,,1.4779844284057617,,
710,1.2910413824465667,1.450202751159668,,6.759324740205495e-05,2.317096471786499
720,1.309231468849477,1.5018808364868164,,6.460799259643884e-05,1.796597957611084
730,1.3274215552523874,1.5189447402954102,,6.165837454222608e-05,2.1025309562683105
740,1.345611641655298,1.463861846923828,,5.8747363254768894e-05,1.7203372716903687
750,1.3638017280582082,1.408411693572998,,5.5877889875677845e-05,1.8478591442108154
760,1.3819918144611187,1.4438825607299806,,5.305284372141095e-05,1.859578013420105
770,1.400181900864029,1.4892111778259278,,5.027506937397652e-05,2.4545717239379883
780,1.4183719872669396,1.5015598297119142,,4.754736381668057e-05,2.133437395095825
790,1.43656207366985,1.4113225936889648,,4.487247361780169e-05,2.188769817352295
800,1.4547521600727604,1.436961555480957,,4.225309216502933e-05,2.0039730072021484
800,1.4547521600727604,,1.4681154489517212,,
810,1.4729422464756707,1.4048690795898438,,3.969185695345105e-05,2.1979668140411377
820,1.491132332878581,1.3650793075561523,,3.719134692981826e-05,2.186432123184204
830,1.5093224192814916,1.4763908386230469,,3.47540798957656e-05,1.9241753816604614
840,1.527512505684402,1.338407039642334,,3.238250997259808e-05,1.9462517499923706
850,1.5457025920873124,1.4096925735473633,,3.0079025130198935e-05,1.877832055091858
860,1.5638926784902227,1.4284526824951171,,2.7845944782546453e-05,2.7597947120666504
870,1.5820827648931333,1.3889360427856445,,2.5685517452260567e-05,2.3055636882781982
