step,epoch,loss,eval_loss,learning_rate,grad_norm
10,0.018190086402910415,3.7640281677246095,,1.6363636363636366e-05,2.9574384689331055
20,0.03638017280582083,2.9303455352783203,,3.454545454545455e-05,2.5530059337615967
30,0.054570259208731244,2.0401344299316406,,5.272727272727272e-05,1.9880026578903198
40,0.07276034561164166,1.9371629714965821,,7.090909090909092e-05,0.9503012299537659
50,0.09095043201455207,1.795161819458008,,8.90909090909091e-05,0.9841288328170776
60,0.10914051841746249,1.7308774948120118,,0.00010727272727272728,1.3209913969039917
70,0.1273306048203729,1.7398979187011718,,0.00012545454545454546,1.130686640739441
80,0.14552069122328332,1.621181106567383,,0.00014363636363636363,1.2402063608169556
90,0.16371077762619374,1.6641716003417968,,0.00016181818181818184,1.0751723051071167
100,0.18190086402910413,1.6935253143310547,,0.00018,1.1390184164047241
100,0.18190086402910413,,1.584662914276123,,
110,0.20009095043201455,1.657723617553711,,0.00019818181818181821,1.0908560752868652
120,0.21828103683492497,1.6049036026000976,,0.00019995921928281894,1.404117465019226
130,0.23647112323783537,1.5921575546264648,,0.00019981829160444514,1.1952948570251465
140,0.2546612096407458,1.5488987922668458,,0.00019957685536765995,1.2095134258270264
150,0.2728512960436562,1.515650463104248,,0.0001992351536782881,1.0259653329849243
160,0.29104138244656663,1.4800586700439453,,0.00019879353060096603,0.989045262336731
170,0.30923146884947705,1.5055216789245605,,0.00019825243081269774,1.124754548072815
180,0.3274215552523875,1.451636505126953,,0.00019761239915510302,0.9748618602752686
190,0.34561164165529784,1.4164030075073242,,0.00019687408008580784,1.129091501235962
200,0.36380172805820826,1.4959919929504395,,0.00019603821702953046,1.0802379846572876
200,0.36380172805820826,,1.4440194368362427,,
210,0.3819918144611187,1.4470477104187012,,0.00019510565162951537,1.3479639291763306
220,0.4001819008640291,1.3699670791625977,,0.00019407732290007023,1.2548521757125854
230,0.4183719872669395,1.485837745666504,,0.00019295426628105792,1.158119797706604
240,0.43656207366984995,1.396098518371582,,0.00019173761259529633,1.016123652458191
250,0.45475216007276037,1.4563766479492188,,0.00019042858690991574,1.180600881576538
260,0.47294224647567074,1.4751008987426757,,0.00018902850730281992,0.9735491275787354
270,0.49113233287858116,1.3886494636535645,,0.00018753878353549357,1.2453649044036865
